type,ident,Latitude,Longitude,Zone,Boundary,Waterbody,Exclude
WAYPOINT,SFR0152,29.91618333,-82.82936667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0153,29.91635,-82.82983333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0154,29.91681667,-82.82863333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0155,29.91698333,-82.82913333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0156,29.91738333,-82.82781667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0157,29.91758333,-82.82836667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0158,29.91788333,-82.82696667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0159,29.9181,-82.82751667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0160,29.91845,-82.82615,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0161,29.91861667,-82.82666667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0162,29.9191,-82.82543333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0163,29.91923333,-82.8259,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0164,29.9198,-82.82478333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0165,29.91995,-82.8253,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0166,29.9206,-82.82431667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0167,29.92075,-82.82483333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0168,29.92145,-82.82401667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0169,29.9216,-82.82451667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0170,29.92228333,-82.82363333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0171,29.92241667,-82.82405,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0172,29.92301667,-82.82305,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0173,29.92316667,-82.8235,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0174,29.92353333,-82.8222,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0175,29.92373333,-82.8227,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0176,29.92385,-82.82123333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0177,29.92406667,-82.82175,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0178,29.9242,-82.82026667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0179,29.92441667,-82.82078333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0180,29.92448333,-82.81928333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0181,29.92475,-82.81983333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0182,29.925,-82.81845,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0183,29.92515,-82.81891667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0184,29.92555,-82.81765,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0185,29.92573333,-82.81811667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0186,29.92623333,-82.81696667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0187,29.9264,-82.81743333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0188,29.92696667,-82.81638333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0189,29.92715,-82.81685,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0190,29.9277,-82.81578333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0191,29.92791667,-82.81633333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0192,29.92846667,-82.81525,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0193,29.92863333,-82.8157,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0194,29.92921667,-82.81468333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0195,29.92941667,-82.8152,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0196,29.92985,-82.81393333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0197,29.93005,-82.81446667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0198,29.93026667,-82.81301667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0199,29.93048333,-82.81356667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0200,29.93038333,-82.81201667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0201,29.93071667,-82.81256667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0202,29.9307,-82.81105,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0203,29.93093333,-82.81158333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0204,29.9314,-82.81043333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0205,29.93153333,-82.81083333,4,FALSE,Santa Fe River,FALSE
